time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740615762.1503427,0,0,0,24.7665234375,122352,33.180248867977895,1004.8297869523219,70.34107390446937
1740615763.1630657,0,0,0,24.7690625,123799,33.140981153309305,1004.8288196568408,70.34918190332434
1740615764.1745477,0,0,0,24.771796875,122263,33.079179799256636,1004.8247259806741,70.38349570917657
1740615765.186068,0,0,0,24.770625,123252,33.03959754833031,1004.8262339926306,70.37085531425828
1740615766.1975427,0,0,0,24.7665234375,124535,32.960304352005245,1004.8263369691251,70.36999214954513
1740615767.2090836,0,0,0,24.76046875,125374,32.886508772919605,1004.8214782001288,70.41071917195382
1740615768.2208738,0,0,0,24.7505078125,126990,32.80676576130501,1004.8153208198606,70.46233160246494
1740615769.2345393,0,0,0,24.741328125,128648,32.76652876402487,1004.7897588020102,70.67660044308518
1740615770.2488146,0,0,0,24.7341015625,126798,32.737734604905484,1004.7812329865873,70.74806748013343
1740615771.2618783,0,0,0,24.728046875,128648,32.720304719804055,1004.7660246986254,70.87555108367168
1740615772.275438,0,0,0,24.7083203125,130047,32.729760899791486,1004.7574824777876,70.9471570079473
1740615773.2883961,0,0,0,24.6815625,128058,32.744203387287364,1004.7390116001542,71.10199246424844
1740615774.3012145,0,0,0,24.6551953125,128648,32.76993564681286,1004.7332592440566,71.15021309524566
1740615775.312286,0,0,0,24.63,128648,32.8014052269218,1004.7242725195282,71.22554711380477
1740615776.323388,0,0,0,24.6034375,129644,32.827125694837406,1004.7112932598834,71.33435076505494
1740615777.3345737,0,0,0,24.5766796875,129444,32.86972038057612,1004.708335100999,71.35914883238911
1740615778.3456554,0,0,0,24.5450390625,130859,32.9118780062353,1004.7145251889863,71.30725776609074
1740615779.3573391,0,0,0,24.5079296875,130962,32.95354393429374,1004.727164487698,71.20130422996961
1740615780.3703372,0,0,0,24.4653515625,131994,32.989083281692054,1004.741076308197,71.08468456304217
1740615781.3832648,0,0,0,24.4231640625,132516,33.030297647497655,1004.7314887344473,71.16505490056608
1740615782.3950405,0,0,1,24.383515625,133786,33.06047963496751,1004.729551542421,71.18129399338501
1740615783.4061189,0,0,1,24.3446484375,135628,33.06255695376036,1004.7220072993597,71.24453611378732
1740615784.4171627,0,0,1,24.3034375,135299,33.024980655316156,1004.6778202576371,71.61495637233205
1740615785.4282393,0,0,1,24.264765625,136401,32.96512683743953,1004.6102623292969,72.1813204282441
1740615786.4394867,0,0,1,24.2247265625,136846,32.91080972536491,1004.5628454550114,72.57885271239613
1740615787.4515488,0,0,1,24.18546875,137521,32.85096611767775,1004.5287865259663,72.86440439936693
1740615788.4644184,0,0,1,24.1485546875,138544,32.80823862833015,1004.5055037568201,73.05961275854797
1740615789.4773743,0,0,1,24.1133984375,138544,32.76568905985102,1004.4903015305302,73.18707387201148
1740615790.4903362,0,0,0,24.081953125,124907,32.71225436634923,1004.4743553212516,73.32077449375153
1740615791.503348,0,0,0,24.0528515625,121201,32.675909524045174,1004.460569021555,73.43636678891505
1740615792.5164106,0,0,0,24.029609375,124814,32.5951846686807,1004.4547719597689,73.48497308508745
1740615793.5290537,0,0,1,24.0083203125,130350,32.58764986402713,1004.4539341912416,73.4919974942707
1740615794.5419748,0,0,1,23.9841015625,131270,32.6416127060244,1004.4482368465069,73.53976795209726
1740615795.5545862,0,0,1,23.9614453125,134430,32.706968435136986,1004.4434052703083,73.58027938281809
1740615796.5674808,0,0,1,23.9380078125,134000,32.74979818395309,1004.4389990964439,73.61722407012846
1740615797.5795,0,0,1,23.9176953125,136068,32.77605861087164,1004.4346044543516,73.65407219707203
1740615798.592889,0,0,1,23.900703125,136401,32.841976655427786,1004.43054599335,73.6881016339533
1740615799.6060212,0,0,1,23.884296875,138544,32.930476043130994,1004.4274580732938,73.71399334100292
1740615800.6188984,0,0,1,23.86671875,137295,33.01891742383772,1004.4224258543297,73.75618781601588
1740615801.6317606,0,0,1,23.852265625,137860,33.10769233099152,1004.4225746334305,73.75494032093451
1740615802.644834,0,0,1,23.8383984375,139351,33.17966417999558,1004.4219716349207,73.7599963927174
1740615803.6587484,0,0,1,23.82453125,140756,33.234755963311684,1004.4248127363287,73.73617411212633
1740615804.6715844,0,0,1,23.8126171875,142432,33.26185246332855,1004.4274469792842,73.71408636258317
1740615805.6871493,0,0,1,23.802265625,139816,33.30037441586853,1004.4275044990416,73.71360406818773
1740615806.7001097,0,0,1,23.7926953125,142553,33.305136391365046,1004.4236900194039,73.7455879468467
1740615807.7129664,0,0,1,23.781953125,140756,33.29851239142254,1004.4196541598953,73.77942817186695
1740615808.7253208,0,0,1,23.77140625,140520,33.26371595099317,1004.4142195066956,73.82499729755496
1740615809.7383242,0,0,1,23.76125,139120,33.22332863028093,1004.4145992475632,73.82181319473892
1740615810.7513068,0,0,1,23.7534375,141949,33.18316796480238,1004.4171432424645,73.80048198578181
1740615811.7642293,0,0,1,23.746796875,141709,33.16002567630108,1004.4078523595557,73.87838556316376
1740615812.7773128,0,1,1,23.7395703125,143777,33.114305848093586,1004.4044786802103,73.90667383610376
1740615813.7902663,0,1,1,23.7313671875,144521,33.102295071775,1004.3977630321341,73.9629847177525
1740615814.8035657,0,1,1,23.7221875,134430,33.067676193257384,1004.3980386172483,73.96067392349451
1740615815.8156528,1,1,1,23.7165234375,140756,33.02775831187296,1004.3972557745692,73.96723809784832
1740615816.8283362,1,1,1,23.708515625,143162,32.970760533390795,1004.3960300073645,73.97751622445556
1740615817.8393857,1,1,1,23.701484375,137408,32.92512265402999,1004.3947014936272,73.98865589795622
1740615818.8504303,1,1,1,23.69640625,136068,32.86281139608752,1004.3983342215162,73.95819526824809
1740615819.862822,1,1,1,23.6899609375,136290,32.822882259859995,1004.4151981994161,73.81679102384304
1740615820.8739002,1,1,1,23.684296875,136846,32.7324786366454,1004.4316353626695,73.67896746490332
1740615821.8851805,1,1,1,23.680390625,139351,32.692816335333376,1004.4509876915857,73.51670294708185
1740615822.9022427,1,1,1,23.67765625,140167,32.65888438419455,1004.4636731122046,73.41034018893518
1740615823.9148057,1,1,1,23.676875,137747,32.743041664021256,1004.4727097333478,73.33457198518208
1740615824.925844,0,0,0,23.6762890625,139700,32.889098229412376,1004.4837923739839,73.24164953647961
1740615825.9369032,0,0,0,23.67609375,139004,33.05784958674973,1004.4989670888484,73.1144184200505
1740615826.9480693,0,0,0,23.6753125,141470,33.21547120730772,1004.4942270587371,73.15416063544228
1740615827.959433,0,0,0,23.6735546875,141709,33.34496992997272,1004.4947554728174,73.14973020328439
