Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744841946.64,0,0,19.0,1.4,3.0,3.0,21.3909375,44.47762630585744,1001.9557993226277,94.45915283218592,107161.6
1744841951.69,0,0,14.6,2.0,3.0,3.0,21.435976562500002,44.44139772020118,1001.9639197597795,94.39092835436033,107870.4
1744841956.64,0,0,14.0,2.0,3.0,3.0,21.459101562500003,44.43916022109667,1001.9653272129765,94.37910357681262,107939.4
1744841961.74,0,0,12.2,2.0,3.4,3.4,21.486406249999998,44.349889035069644,1001.9564318884186,94.45383818434897,109046.2
1744841966.63,0,0,14.6,2.0,3.4,3.4,21.486406249999998,44.349889035069644,1001.9564318884186,94.45383818434897,109046.2
1744841971.67,0,0,14.2,2.0,3.4,3.4,21.5108203125,43.98610641781765,1001.956287211124,94.45505379775258,109935.2
1744841976.64,0,0,11.6,2.0,3.4,3.4,21.515000000000004,43.81565504198351,1001.9619415124771,94.40754869497826,109990.6
1744841981.67,0,0,12.0,2.0,4.0,4.0,21.531054687500003,44.228658122891375,1001.972607361327,94.31793943911967,109706.6
1744841986.64,0,0,12.2,2.0,4.0,4.0,21.566328125,44.54866725928085,1001.9584226355021,94.43711295108845,110277.2
1744841991.66,0,0,10.4,2.0,4.0,5.0,21.5912890625,44.70245002497184,1001.9468206215854,94.53458845388009,111821.2
1744841996.64,0,0,13.4,2.0,4.0,5.0,21.518515625,44.19570023176708,1001.953830285629,94.47569579809665,113472.0
1744842001.68,0,0,13.4,2.0,4.0,4.8,21.4316796875,43.76393139961537,1001.9540856476427,94.47355036876026,114463.0
1744842006.63,0,0,9.6,2.0,4.0,4.8,21.3058984375,43.597368262249475,1001.9465754736304,94.5366480775639,114510.4
1744842011.66,0,0,16.0,2.0,4.0,4.0,21.203750000000003,43.53760902844291,1001.9510353039165,94.49917825058573,115320.6
1744842016.64,0,0,12.2,2.0,4.0,4.0,20.929843749999996,43.56393032915204,1001.9394909066954,94.59617038904368,115396.0
1744842021.68,0,0,12.2,2.0,4.0,4.4,20.858476562499998,43.85476007057643,1001.9152334305311,94.79997677104555,115213.8
1744842026.64,0,0,12.6,2.0,4.0,4.4,20.8101171875,44.31482547516056,1001.9005618705298,94.92324562511547,114834.2
1744842031.67,0,0,14.2,2.0,4.0,5.0,20.768124999999998,44.62104771583925,1001.8965237965697,94.95717341817468,115663.8
1744842036.63,0,0,13.2,2.0,4.0,5.0,20.7230859375,44.75461451784896,1001.8926304738443,94.98988522857599,116377.8
1744842041.66,0,0,11.2,2.0,4.0,5.0,20.71015625,44.75923051857789,1001.8898640852312,95.01312845326909,116807.2
1744842046.64,0,0,12.6,2.0,4.0,5.0,20.682382812500002,44.7499963344972,1001.883415089693,95.06731329008034,118045.4
1744842051.67,0,0,11.2,2.0,4.4,4.4,20.7050390625,44.90721593644362,1001.8837761868784,95.06427937565519,116919.2
1744842056.63,0,0,12.6,2.0,4.4,4.4,20.7501171875,45.253715129049056,1001.8884604044108,95.02492222516057,116603.8
1744842061.66,0,0,12.8,2.2,5.0,5.0,20.763203124999997,45.81150991800159,1001.8802472866898,95.09392976838994,116534.8
1744842066.67,0,0,9.8,2.2,5.0,5.0,20.753515625,45.839721447583145,1001.8548284411676,95.30750348453867,117868.8
1744842071.7,0,0,11.6,2.2,4.2,4.2,20.7208984375,45.54228195378464,1001.8583107422215,95.27824424365274,118568.4
1744842076.68,0,0,14.0,2.2,4.2,4.2,20.6405859375,45.47194035740506,1001.8503359868749,95.34525041597196,118948.2
1744842081.72,0,0,13.0,2.0,4.6,4.6,20.596914062499998,45.85355676426706,1001.857320166713,95.28656741862886,118204.8
1744842086.64,0,0,9.6,2.0,4.6,4.6,20.609296875000002,46.37859643222445,1001.8733308514624,95.15204225242937,118536.2
